Simulation status;Solvent;Solvent temperature (K);Solvent pressure (bar);Reflux ratio col 1 (mole basis);Reflux ratio col 2 (mole basis);Solvent flowrate (kmol/hr);Mixture pressure (bar);Mixture temperature (K);Distillate rate col 1 (kmol/hr);Distillate rate col 2 (kmol/hr);Methanol purity (mole basis);Condensor 01 duty (kJ/hr);Condensor 02 duty (kJ/hr)
Warnings;DMSO;303.15;1;0.25;0.25;830;3;313.15;200;400;0.674965857;-7458990.43;-20700591.2
Warnings;DMSO;303.15;1;0.25;0.25;830;3;313.15;400;200;0.700358214;-15771255.4;-11271187.2
Warnings;DMSO;303.15;1;0.25;0.25;830;3;313.15;400;400;0.350179093;-15771224.3;-25128895.2
Warnings;DMSO;303.15;1;0.25;0.25;830;3;323.15;200;200;0.654289009;-7458999.81;-8356233.89
Warnings;DMSO;303.15;1;0.25;0.25;830;3;323.15;200;400;0.674963803;-7458997.51;-20700588.7
Warnings;DMSO;303.15;1;0.25;0.25;830;3;323.15;400;200;0.700357653;-15771259.1;-11271187.6
Warnings;DMSO;303.15;1;0.25;0.25;830;3;323.15;400;400;0.350178768;-15771217.8;-25128897.7
Warnings;DMSO;303.15;1;0.25;0.75;600;1;303.15;200;200;0.610049826;-7509865.99;-11603688.1
Warnings;DMSO;303.15;1;0.25;0.75;600;1;303.15;200;400;0.654846169;-7509908.98;-28949148
Warnings;DMSO;303.15;1;0.25;0.75;600;1;303.15;400;200;0.700294636;-15765271.4;-15780067.5
Warnings;DMSO;303.15;1;0.25;0.75;600;1;303.15;400;400;0.35014716;-15765230.9;-35180660
Warnings;DMSO;303.15;1;0.25;0.75;600;1;313.15;200;200;0.607620767;-7512996.51;-11598434.7
Warnings;DMSO;303.15;1;0.25;0.75;600;1;313.15;200;400;0.65362047;-7512995.31;-28947142.4
Warnings;DMSO;303.15;1;0.25;0.75;600;1;313.15;400;200;0.700293637;-15765277.7;-15780068.6
Warnings;DMSO;303.15;1;0.25;0.75;600;1;313.15;400;400;0.350146626;-15765228.3;-35180666.1
Warnings;DMSO;303.15;1;0.25;0.75;600;1;323.15;200;200;0.604945939;-7516445.56;-11592711.7
