"T DMSO","P DMSO","T MIX","P MIX","RR1","RR2","PURITY","SIMRES"
"310","1","325","2","1","0.5","0.994921961","Warnings"
"310","1","325","2","1","0.75","0.994921188","Warnings"
"310","1","325","2","1","1","0.994921146","Warnings"
"310","1","325","2","1","1.25","0.994921147","Warnings"
"310","1","325","2","1.25","0.5","0.995731092","Warnings"
"310","1","325","2","1.25","0.75","0.995729905","Warnings"
"310","1","325","2","1.25","1","0.995730011","Warnings"
"310","1","325","2","1.25","1.25","0.995729999","Warnings"
"310","1","325","2.5","0.5","0.5","0.950136104","Warnings"
"310","1","325","2.5","0.5","0.75","0.95013192","Warnings"
"310","1","325","2.5","0.5","1","0.950132397","Warnings"
"310","1","325","2.5","0.5","1.25","0.950131542","Warnings"
"310","1","325","2.5","0.75","0.5","0.984648204","Warnings"
"310","1","325","2.5","0.75","0.75","0.984625248","Warnings"
"310","1","325","2.5","0.75","1","0.984624608","Warnings"
"310","1","325","2.5","0.75","1.25","0.984623939","Warnings"
"310","1","325","2.5","1","0.5","0.994921961","Warnings"
"310","1","325","2.5","1","0.75","0.994921188","Warnings"
"310","1","325","2.5","1","1","0.994921146","Warnings"
"310","1","325","2.5","1","1.25","0.994921147","Warnings"
"310","1","325","2.5","1.25","0.5","0.995731092","Warnings"
"310","1","325","2.5","1.25","0.75","0.995729905","Warnings"
"310","1","325","2.5","1.25","1","0.995730011","Warnings"
"310","1","325","2.5","1.25","1.25","0.995729999","Warnings"
"310","1.5","310","1","0.5","0.5","0.954251427","Warnings"
"310","1.5","310","1","0.5","0.75","0.954224992","Warnings"
"310","1.5","310","1","0.5","1","0.954223339","Warnings"
"310","1.5","310","1","0.5","1.25","0.954221427","Warnings"
"310","1.5","310","1","0.75","0.5","0.987431437","Warnings"
"310","1.5","310","1","0.75","0.75","0.987409019","Warnings"
"310","1.5","310","1","0.75","1","0.987408597","Warnings"
"310","1.5","310","1","0.75","1.25","0.987408423","Warnings"
"310","1.5","310","1","1","0.5","0.995121473","Warnings"
"310","1.5","310","1","1","0.75","0.995120356","Warnings"
"310","1.5","310","1","1","1","0.995120686","Warnings"
"310","1.5","310","1","1","1.25","0.995120678","Warnings"
"310","1.5","310","1","1.25","0.5","0.995779052","Warnings"
"310","1.5","310","1","1.25","0.75","0.995777987","Warnings"
"310","1.5","310","1","1.25","1","0.995778087","Warnings"
"310","1.5","310","1","1.25","1.25","0.995778142","Warnings"
"310","1.5","310","1.5","0.5","0.5","0.954257046","Warnings"
"310","1.5","310","1.5","0.5","0.75","0.954220932","Warnings"
"310","1.5","310","1.5","0.5","1","0.954217907","Warnings"
"310","1.5","310","1.5","0.5","1.25","0.954219986","Warnings"
"310","1.5","310","1.5","0.75","0.5","0.987431266","Warnings"
"310","1.5","310","1.5","0.75","0.75","0.987409019","Warnings"
"310","1.5","310","1.5","0.75","1","0.987408602","Warnings"
"310","1.5","310","1.5","0.75","1.25","0.987408425","Warnings"
"310","1.5","310","1.5","1","0.5","0.995121473","Warnings"
"310","1.5","310","1.5","1","0.75","0.995120356","Warnings"
"310","1.5","310","1.5","1","1","0.995120686","Warnings"
"310","1.5","310","1.5","1","1.25","0.995120678","Warnings"
"310","1.5","310","1.5","1.25","0.5","0.995779052","Warnings"
"310","1.5","310","1.5","1.25","0.75","0.995777987","Warnings"
"310","1.5","310","1.5","1.25","1","0.995778087","Warnings"
"310","1.5","310","1.5","1.25","1.25","0.995778142","Warnings"
"310","1.5","310","2","0.5","0.5","0.954257046","OK"
"310","1.5","310","2","0.5","0.75","0.954220932","OK"
"310","1.5","310","2","0.5","1","0.954217907","OK"
"310","1.5","310","2","0.5","1.25","0.954219986","OK"
"310","1.5","310","2","0.75","0.5","0.987431266","OK"
"310","1.5","310","2","0.75","0.75","0.987409019","OK"
"310","1.5","310","2","0.75","1","0.987408602","OK"
"310","1.5","310","2","0.75","1.25","0.987408425","OK"
"310","1.5","310","2","1","0.5","0.995121473","OK"
"310","1.5","310","2","1","0.75","0.995120356","OK"
"310","1.5","310","2","1","1","0.995120686","OK"
"310","1.5","310","2","1","1.25","0.995120678","OK"
"310","1.5","310","2","1.25","0.5","0.995779052","OK"
"310","1.5","310","2","1.25","0.75","0.995777987","OK"
"310","1.5","310","2","1.25","1","0.995778087","OK"
"310","1.5","310","2","1.25","1.25","0.995778142","OK"
"310","1.5","310","2.5","0.5","0.5","0.954257046","OK"
"310","1.5","310","2.5","0.5","0.75","0.954220932","OK"
"310","1.5","310","2.5","0.5","1","0.954217907","OK"
"310","1.5","310","2.5","0.5","1.25","0.954219986","OK"
"310","1.5","310","2.5","0.75","0.5","0.987431266","OK"
"310","1.5","310","2.5","0.75","0.75","0.987409019","OK"
"310","1.5","310","2.5","0.75","1","0.987408602","OK"
"310","1.5","310","2.5","0.75","1.25","0.987408425","OK"
"310","1.5","310","2.5","1","0.5","0.995121473","OK"
"310","1.5","310","2.5","1","0.75","0.995120356","OK"
"310","1.5","310","2.5","1","1","0.995120686","OK"
"310","1.5","310","2.5","1","1.25","0.995120678","OK"
"310","1.5","310","2.5","1.25","0.5","0.995779052","OK"
"310","1.5","310","2.5","1.25","0.75","0.995777987","OK"
